Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
2/28/2017,1.05907,112.331,1.00468,1.24031,1.32924
3/1/2017,1.05514,113.619,1.00839,1.22935,1.33396
3/2/2017,1.05052,114.469,1.01362,1.22592,1.3395
3/3/2017,1.06121,113.928,1.00913,1.22948,1.33787
3/6/2017,1.05839,113.903,1.01183,1.2236,1.341
3/7/2017,1.05667,114.026,1.0134,1.22033,1.34172
3/8/2017,1.05442,114.381,1.01461,1.2167,1.3488
3/9/2017,1.05897,114.934,1.01041,1.2174,1.35067
3/10/2017,1.06934,114.743,1.00954,1.21807,1.34576
3/13/2017,1.0654,114.811,1.0067,1.22252,1.34446
3/14/2017,1.0611,114.705,1.00969,1.2158,1.3483
3/15/2017,1.06947,113.47,1.00097,1.22776,1.33267
3/16/2017,1.07593,113.342,0.99623,1.23552,1.33483
3/17/2017,1.07415,112.679,0.99814,1.23928,1.33403
3/20/2017,1.07394,112.545,0.99869,1.23563,1.33496
3/21/2017,1.08084,111.825,0.9943,1.24816,1.33407
3/22/2017,1.0795,110.953,0.99188,1.24865,1.33391
3/23/2017,1.07831,110.921,0.99301,1.25195,1.33507
3/24/2017,1.08142,110.665,0.9894,1.25045,1.33788
3/27/2017,1.08655,110.564,0.98502,1.2563,1.3369
3/28/2017,1.08049,111.134,0.99267,1.24464,1.33812
3/29/2017,1.07601,111.027,0.9963,1.24369,1.33332
3/30/2017,1.06824,111.734,1.00063,1.24693,1.33199
3/31/2017,1.06729,111.387,1.00127,1.25237,1.32965
4/3/2017,1.06648,111.004,1.00193,1.24741,1.3387
4/4/2017,1.06684,110.679,1.002,1.24486,1.34112
4/5/2017,1.06733,110.715,1.0038,1.24917,1.34189
4/6/2017,1.06456,110.789,1.00504,1.24718,1.34148
4/7/2017,1.0591,111.204,1.0087,1.23776,1.3413
4/10/2017,1.0591,110.975,1.00878,1.24126,1.33326
4/11/2017,1.06063,109.658,1.00735,1.2488,1.3337
4/12/2017,1.06415,109.315,1.00502,1.25263,1.32809
4/13/2017,1.06147,109.161,1.0061,1.25024,1.33246
4/14/2017,1.0623,108.598,1.00365,1.25297,1.3316
4/17/2017,1.06395,108.901,1.00475,1.256,1.33133
4/18/2017,1.07351,108.365,0.99554,1.28484,1.33794
4/19/2017,1.07159,108.837,0.99769,1.27794,1.34859
4/20/2017,1.07232,109.244,0.99778,1.28192,1.3472
4/21/2017,1.06968,109.106,0.99786,1.28016,1.35075
4/24/2017,1.08574,109.792,0.99637,1.27874,1.35101
4/25/2017,1.0929,111.109,0.9933,1.2828,1.35763
4/26/2017,1.08969,111.384,0.99408,1.28406,1.36139
4/27/2017,1.0883,111.193,0.99333,1.29065,1.36118
4/28/2017,1.08988,111.423,0.99367,1.29535,1.36557
5/1/2017,1.09013,111.79,0.99591,1.28896,1.36731
5/2/2017,1.09238,112.013,0.99216,1.2927,1.3722
5/3/2017,1.08895,112.69,0.9941,1.28716,1.37181
5/4/2017,1.09836,112.431,0.9867,1.29221,1.37618
5/5/2017,1.09938,112.554,0.98705,1.2976,1.36559
5/8/2017,1.09318,113.069,0.9981,1.29421,1.36963
5/9/2017,1.08703,114.175,1.0086,1.29287,1.37252
5/10/2017,1.08662,114.277,1.0087,1.2947,1.36677
5/11/2017,1.0862,113.834,1.0076,1.28931,1.36892
5/12/2017,1.09234,113.349,1.00213,1.28828,1.3711
5/15/2017,1.09791,113.693,0.9961,1.28956,1.36452
5/16/2017,1.10904,113.005,0.985,1.292,1.35801
5/17/2017,1.11459,111.111,0.97924,1.2954,1.36195
5/18/2017,1.10997,111.481,0.9802,1.29358,1.36061
5/19/2017,1.12033,111.215,0.97308,1.30331,1.35154
5/22/2017,1.12334,111.205,0.97331,1.2994,1.35079
5/23/2017,1.1188,111.668,0.97479,1.2971,1.35026
5/24/2017,1.12107,111.626,0.97392,1.29549,1.34196
5/25/2017,1.12131,111.771,0.97277,1.29409,1.34724
5/26/2017,1.1175,111.242,0.9744,1.2809,1.34495
5/29/2017,1.11799,111.275,0.97548,1.28465,1.34315
5/30/2017,1.11921,110.748,0.9738,1.28599,1.34593
5/31/2017,1.12407,110.655,0.96787,1.28842,1.35084
6/1/2017,1.12142,111.31,0.97125,1.28828,1.35127
6/2/2017,1.12751,110.456,0.96333,1.28799,1.34959
6/5/2017,1.12544,110.496,0.96521,1.29083,1.34707
6/6/2017,1.12745,109.482,0.96209,1.28967,1.34511
6/7/2017,1.12555,109.794,0.9649,1.2949,1.35192
6/8/2017,1.12117,110.018,0.96775,1.29412,1.35053
6/9/2017,1.11945,110.242,0.96938,1.27265,1.34625
6/12/2017,1.1206,109.828,0.96844,1.26555,1.33296
6/13/2017,1.1207,110.002,0.96876,1.2752,1.32359
6/14/2017,1.11961,109.806,0.97328,1.27326,1.32678
